YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-10,WEEKDAY,6,TRAIN,TE26,3827,2092
2025-10,WEEKDAY,17,TRAIN,NE10,32512,26268
2025-10,WEEKDAY,5,TRAIN,EW26,19712,2493
2025-10,WEEKDAY,0,TRAIN,EW3,95,2306
2025-10,WEEKDAY,14,TRAIN,BP9,2209,2179
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,DT24,2737,1301
2025-10,WEEKDAY,10,TRAIN,BP3,4507,1646
2025-10,WEEKENDS/HOLIDAY,21,TRAIN,EW32,902,5321
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,SW6,1642,1503
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,DT3,850,567
2025-10,WEEKDAY,16,TRAIN,PW3,1136,1117
2025-10,WEEKDAY,14,TRAIN,CC3,10193,9750
2025-10,WEEKDAY,19,TRAIN,CC8,9993,16991
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,NS21/DT11,27732,28161
2025-10,WEEKENDS/HOLIDAY,16,TRAIN,DT22,6223,7545
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,CC20,1173,801
2025-10,WEEKDAY,9,TRAIN,DT25,7425,6098
2025-10,WEEKENDS/HOLIDAY,14,TRAIN,EW27,21662,22021
2025-10,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2783,2955
2025-10,WEEKDAY,20,TRAIN,NS11,23209,67214
2025-10,WEEKDAY,21,TRAIN,NS25/EW13,97799,14242
2025-10,WEEKDAY,19,TRAIN,TE23,3142,6998
2025-10,WEEKENDS/HOLIDAY,23,TRAIN,NE5,5504,2207
2025-10,WEEKENDS/HOLIDAY,20,TRAIN,EW32,2319,5031
2025-10,WEEKDAY,17,TRAIN,TE28,5400,8324
2025-10,WEEKDAY,14,TRAIN,NE4/DT19,66274,55813
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,SE4,2601,1348
2025-10,WEEKENDS/HOLIDAY,10,TRAIN,CG1/DT35,1900,7060
2025-10,WEEKDAY,22,TRAIN,SE1,1058,5690
2025-10,WEEKDAY,15,TRAIN,EW17,21411,25160
