Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2025,5,1,     5.2,     3.0,     5.2,     5.2,-,-,-,-,-
Punggol,2025,5,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,3,     2.2,     1.4,     1.4,     1.4,-,-,-,-,-
Punggol,2025,5,4,     8.0,     3.6,     4.6,     7.8,-,-,-,-,-
Punggol,2025,5,5,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,5,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,8,    19.0,    15.6,    19.0,    19.0,-,-,-,-,-
Punggol,2025,5,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,10,    20.0,    13.6,    15.2,    18.4,-,-,-,-,-
Punggol,2025,5,11,    16.0,     8.6,    12.6,    14.4,-,-,-,-,-
Punggol,2025,5,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,13,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Punggol,2025,5,14,    20.4,    11.8,    19.2,    19.6,-,-,-,-,-
Punggol,2025,5,15,     2.2,     1.0,     1.0,     1.2,-,-,-,-,-
Punggol,2025,5,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,17,     4.8,     4.2,     4.8,     4.8,-,-,-,-,-
Punggol,2025,5,18,    30.0,    20.6,    21.4,    22.8,-,-,-,-,-
Punggol,2025,5,19,     1.8,     0.8,     0.8,     0.8,-,-,-,-,-
Punggol,2025,5,20,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2025,5,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,22,     5.4,     4.8,     4.8,     4.8,-,-,-,-,-
Punggol,2025,5,23,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2025,5,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,27,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2025,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,29,     4.4,     1.0,     1.8,     2.6,-,-,-,-,-
Punggol,2025,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2025,5,31,    12.8,    12.8,    12.8,    12.8,-,-,-,-,-
