Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2025,6,1,     0.0,     0.0,     0.0,     0.0,    29.9,    35.4,    26.3,     8.9,    29.6
Seletar,2025,6,2,     0.0,     0.0,     0.0,     0.0,    30.2,    34.6,    26.4,     6.9,    35.2
Seletar,2025,6,3,     2.6,     2.4,     2.4,     2.6,    28.2,    32.6,    24.3,     6.0,    50.0
Seletar,2025,6,4,     0.0,     0.0,     0.0,     0.0,    28.6,    33.3,    25.5,     6.3,    31.5
Seletar,2025,6,5,     0.0,     0.0,     0.0,     0.0,    28.5,    32.3,    26.2,     5.6,    42.6
Seletar,2025,6,6,     2.4,     2.2,     2.2,     2.2,    27.6,    31.4,    24.1,     6.3,    48.2
Seletar,2025,6,7,     0.0,     0.0,     0.0,     0.0,    29.5,    33.6,    26.0,     9.2,    37.0
Seletar,2025,6,8,    16.6,    12.2,    13.2,    15.0,    28.4,    32.9,    23.1,     5.4,    38.9
Seletar,2025,6,9,     0.0,     0.0,     0.0,     0.0,    29.2,    31.9,    25.9,     6.0,    29.6
Seletar,2025,6,10,    10.6,     6.6,     8.4,     9.6,    27.9,    30.3,    24.3,     6.7,    53.7
Seletar,2025,6,11,     0.0,     0.0,     0.0,     0.0,    29.3,    33.0,    26.7,     7.2,    29.6
Seletar,2025,6,12,     0.0,     0.0,     0.0,     0.0,    29.7,    33.8,    26.7,     9.5,    35.2
Seletar,2025,6,13,     0.0,     0.0,     0.0,     0.0,    30.5,    33.9,    28.1,    11.7,    35.2
Seletar,2025,6,14,     0.0,     0.0,     0.0,     0.0,    30.2,    34.1,    27.9,    10.2,    29.6
Seletar,2025,6,15,     0.0,     0.0,     0.0,     0.0,    29.9,    34.2,    26.8,     9.1,    25.9
Seletar,2025,6,16,     5.6,     3.0,     3.0,     3.0,    28.2,    33.6,    25.7,     5.9,    40.7
Seletar,2025,6,17,    37.4,    31.0,    37.0,    37.0,    27.2,    32.6,    23.9,     6.1,    37.0
Seletar,2025,6,18,     0.0,     0.0,     0.0,     0.0,    27.7,    31.4,    24.9,     5.8,    29.6
Seletar,2025,6,19,     0.0,     0.0,     0.0,     0.0,    28.6,    33.4,    25.0,     5.9,    24.1
Seletar,2025,6,20,     9.2,     7.6,     7.6,     8.4,    27.6,    32.2,    23.7,     3.8,    38.9
Seletar,2025,6,21,     0.0,     0.0,     0.0,     0.0,    28.9,    32.8,    25.4,     8.2,    33.3
Seletar,2025,6,22,     0.0,     0.0,     0.0,     0.0,    29.7,    33.9,    26.1,     6.0,    29.6
Seletar,2025,6,23,     0.8,     0.8,     0.8,     0.8,    27.9,    30.0,    23.9,     6.0,    48.2
Seletar,2025,6,24,     5.2,     5.2,     5.2,     5.2,    28.8,    33.6,    25.6,     8.3,    48.2
Seletar,2025,6,25,     0.0,     0.0,     0.0,     0.0,    29.7,    32.9,    26.6,    12.9,    35.2
Seletar,2025,6,26,     0.0,     0.0,     0.0,     0.0,    30.3,    33.8,    28.2,    12.1,    38.9
Seletar,2025,6,27,     0.0,     0.0,     0.0,     0.0,    30.5,    34.5,    28.4,    11.3,    33.3
Seletar,2025,6,28,    24.0,    16.2,    17.8,    23.0,    28.1,    33.0,    23.3,     6.9,    42.6
Seletar,2025,6,29,     1.0,     0.6,     0.8,     1.0,    28.7,    33.5,    24.3,     7.2,    35.2
Seletar,2025,6,30,    10.8,    10.8,    10.8,    10.8,    29.0,    31.9,    25.5,     5.9,    42.6
