DAY_TYPE,TIME_PER_HOUR,FREQ,AVG_BUS_PER_HOUR
WEEKDAY,0.0,10.5,5.714
WEEKDAY,5.0,11.0,5.455
WEEKDAY,6.0,8.0,7.500
WEEKDAY,7.0,8.0,7.500
WEEKDAY,8.0,8.0,7.500
WEEKDAY,9.0,11.0,5.455
WEEKDAY,10.0,11.0,5.455
WEEKDAY,11.0,11.0,5.455
WEEKDAY,12.0,11.0,5.455
WEEKDAY,13.0,11.0,5.455
WEEKDAY,14.0,11.0,5.455
WEEKDAY,15.0,11.0,5.455
WEEKDAY,16.0,11.0,5.455
WEEKDAY,17.0,10.5,5.714
WEEKDAY,18.0,10.5,5.714
WEEKDAY,19.0,10.5,5.714
WEEKDAY,20.0,10.5,5.714
WEEKDAY,21.0,10.5,5.714
WEEKDAY,22.0,10.5,5.714
WEEKDAY,23.0,10.5,5.714
WEEKENDS/HOLIDAY,0.0,13.5,4.444
WEEKENDS/HOLIDAY,5.0,13.5,4.444
WEEKENDS/HOLIDAY,6.0,15.0,4.000
WEEKENDS/HOLIDAY,7.0,15.0,4.000
WEEKENDS/HOLIDAY,8.0,15.0,4.000
WEEKENDS/HOLIDAY,9.0,13.5,4.444
WEEKENDS/HOLIDAY,10.0,13.5,4.444
WEEKENDS/HOLIDAY,11.0,13.5,4.444
WEEKENDS/HOLIDAY,12.0,13.5,4.444
WEEKENDS/HOLIDAY,13.0,13.5,4.444
WEEKENDS/HOLIDAY,14.0,13.5,4.444
WEEKENDS/HOLIDAY,15.0,13.5,4.444
WEEKENDS/HOLIDAY,16.0,13.5,4.444
WEEKENDS/HOLIDAY,17.0,12.0,5.000
WEEKENDS/HOLIDAY,18.0,12.0,5.000
WEEKENDS/HOLIDAY,19.0,13.5,4.444
WEEKENDS/HOLIDAY,20.0,13.5,4.444
WEEKENDS/HOLIDAY,21.0,13.5,4.444
WEEKENDS/HOLIDAY,22.0,13.5,4.444
WEEKENDS/HOLIDAY,23.0,13.5,4.444
