ID,PT_CODE,PT_NAME
1,64009,Hougang Ctrl Int
2,64551,Blk 836
3,64529,Hougang Polyclinic
4,64339,Blk 602
5,64411,Blk 670
6,64479,Blk 665
7,64081,Hougang 1/Opp Blk 931A
8,64091,Hougang Pr Sch
9,66541,Blk 980C
10,66589,Buangkok Sports Pk
11,66579,Blk 998B
12,66609,Opp Blk 991A
13,66569,Opp Blk 991B
14,66559,Opp Blk 984A
15,66549,Opp Blk 980C
16,64099,Hougang Sec Sch
17,64089,Opp Hougang 1
18,64481,Bet Blks 930/931
19,64471,Blk 917
20,64419,Blk 681
21,64331,Blk 508
22,64521,Blk 834
23,64559,Blk 830A
24,64009,Hougang Ctrl Int
