Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2025,5,1,     1.8,     1.6,     1.6,     1.6,    27.7,    32.4,    25.9,     4.9,    31.5
Seletar,2025,5,2,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    25.7,     6.2,    31.5
Seletar,2025,5,3,     2.8,     2.6,     2.6,     2.8,    28.9,    33.0,    24.8,     6.1,    37.0
Seletar,2025,5,4,     8.6,     5.6,     7.2,     8.6,    28.1,    31.6,    24.1,     6.6,    48.2
Seletar,2025,5,5,     2.2,     1.4,     1.4,     1.4,    27.5,    30.9,    26.3,     3.7,    29.6
Seletar,2025,5,6,     0.0,     0.0,     0.0,     0.0,    29.2,    33.1,    25.3,     7.4,    29.6
Seletar,2025,5,7,     0.0,     0.0,     0.0,     0.0,    30.1,    34.4,    26.9,     7.0,    29.6
Seletar,2025,5,8,    19.2,    15.0,    19.0,    19.2,    28.2,    32.4,    24.5,     6.4,    38.9
Seletar,2025,5,9,     0.0,     0.0,     0.0,     0.0,    29.2,    33.2,    25.8,     5.5,    29.6
Seletar,2025,5,10,    19.4,    12.2,    12.8,    18.8,    28.3,    33.7,    25.1,     5.1,    40.7
Seletar,2025,5,11,    18.2,    12.0,    15.2,    16.2,    28.3,    33.0,    23.5,     6.6,    61.1
Seletar,2025,5,12,     0.0,     0.0,     0.0,     0.0,    28.6,    32.7,    26.3,     5.2,    31.5
Seletar,2025,5,13,     0.0,     0.0,     0.0,     0.0,    27.5,    33.0,    26.1,     5.3,    40.7
Seletar,2025,5,14,    28.2,    20.6,    26.4,    27.0,    26.7,    29.9,    22.4,     4.4,    53.7
Seletar,2025,5,15,    18.6,    15.2,    15.4,    15.4,    27.1,    31.7,    24.9,     4.1,    38.9
Seletar,2025,5,16,     0.0,     0.0,     0.0,     0.0,    29.0,    33.9,    24.9,     5.5,    29.6
Seletar,2025,5,17,     0.0,     0.0,     0.0,     0.0,    29.3,    34.0,    25.4,     8.0,    44.4
Seletar,2025,5,18,    48.4,    27.6,    38.8,    40.6,    27.2,    32.5,    24.0,     5.6,    44.4
Seletar,2025,5,19,     1.0,     0.4,     0.4,     0.4,    27.8,    32.1,    25.4,     4.6,    18.5
Seletar,2025,5,20,     0.0,     0.0,     0.0,     0.0,    29.1,    33.3,    26.2,     9.0,    33.3
Seletar,2025,5,21,     0.0,     0.0,     0.0,     0.0,    29.2,    33.9,    26.2,     7.0,    33.3
Seletar,2025,5,22,     1.2,     1.2,     1.2,     1.2,    27.9,    32.7,    26.5,     5.9,    31.5
Seletar,2025,5,23,     0.2,     0.2,     0.2,     0.2,    29.3,    33.6,    25.9,     6.5,    42.6
Seletar,2025,5,24,     0.0,     0.0,     0.0,     0.0,    29.8,    34.4,    26.7,     6.1,    31.5
Seletar,2025,5,25,     0.0,     0.0,     0.0,     0.0,    29.3,    34.9,    26.6,     8.9,    25.9
Seletar,2025,5,26,     0.0,     0.0,     0.0,     0.0,    29.5,    34.3,    25.6,     9.0,    27.8
Seletar,2025,5,27,     0.0,     0.0,     0.0,     0.0,    29.2,    34.2,    26.0,     7.5,    24.1
Seletar,2025,5,28,     0.0,     0.0,     0.0,     0.0,    29.5,    34.8,    25.8,     8.4,    25.9
Seletar,2025,5,29,     4.0,     1.0,     1.8,     2.4,    26.7,    30.4,    24.2,     7.9,    55.6
Seletar,2025,5,30,     0.0,     0.0,     0.0,     0.0,    28.8,    32.9,    25.5,     7.1,    27.8
Seletar,2025,5,31,    10.8,    10.0,    10.8,    10.8,    28.8,    34.4,    25.8,     5.8,    35.2
