ID,PT_CODE,PT_NAME,NO_OF_SERVICES
1,64009,Hougang Ctrl Int,18
2,64551,Blk 836,6
3,64529,Hougang Polyclinic,6
4,64339,Blk 602,5
5,64411,Blk 670,6
6,64479,Blk 665,6
7,64081,Hougang 1/Opp Blk 931A,2
8,64091,Hougang Pr Sch,2
9,66541,Blk 980C,2
10,66589,Buangkok Sports Pk,2
11,66579,Blk 998B,2
12,66609,Opp Blk 991A,2
13,66569,Opp Blk 991B,2
14,66559,Opp Blk 984A,2
15,66549,Opp Blk 980C,2
16,64099,Hougang Sec Sch,1
17,64089,Opp Hougang 1,1
18,64481,Bet Blks 930/931,5
19,64471,Blk 917,6
20,64419,Blk 681,6
21,64331,Blk 508,5
22,64521,Blk 834,6
23,64559,Blk 830A,6
24,64009,Hougang Ctrl Int,18
