ID,PT_CODE,PT_NAME,DIST,NO_OF_SERVICES
1,10009,Bt Merah Int,0.0,16
2,10089,Blk 119,0.7,11
3,10371,Blk 129,1.1,7
4,10169,Tiong Bahru Stn/Plaza,1.7,11
5,10149,Blk 1,2.3,11
6,06071,Havelock Stn Exit 2,2.4,9
7,06081,Havelock Stn Exit 3,2.6,8
8,06131,Aft Blk 87,3.0,6
9,13121,Opp Great World City,3.3,6
10,13141,Aft Zion Full Gospel Ch,3.7,6
11,13191,Opp Orchard Stn Exit 12,4.3,6
12,09212,Royal Plaza On Scotts,4.9,6
13,40171,Opp Env Bldg,5.5,6
14,40181,Newton Stn Exit A,5.8,6
15,40121,Opp Newton Life Ch,6.2,5
16,50061,Opp Hotel Royal,6.5,5
17,50031,Opp Novena Ch,7.1,12
18,50041,Novena Lodge,7.4,12
19,50051,Thomson Med Ctr,7.6,10
20,51011,Opp Tan Tong Meng Twr,7.9,13
21,52071,Trellis Twrs,8.8,13
22,72011,Blk 322,16.4,16
23,71099,Blk 311,16.7,16
24,72059,Opp Kaki Bt Ind Est,17.3,5
25,72049,Opp Blk 660a Cp,17.7,5
26,72039,Kaki Bt Stn Exit A,18.0,5
27,84709,Opp Blk 150,18.3,5
28,84489,Opp Bedok Ind Pk C,18.8,10
29,84461,Opp Blk 701,19.2,5
30,84471,Blk 745,19.6,5
31,84621,Opp Blk 716,20.0,5
32,84611,Opp Waterfront Isle,20.4,5
33,84631,Opp Waterfront Waves,20.6,5
34,84601,Opp Waterfront Key,20.8,5
35,75341,Opp The Clearwater Condo,21.2,10
36,74941,Opp Blk 961a,21.5,10
37,75061,Blk 954d,21.7,10
38,75051,Tampines West Stn Exit B,22.4,12
39,96289,Changi General Hosp,23.7,5
40,96259,Aft Changi General Hosp,24.2,2
41,96169,Simei Stn,24.5,4
42,96269,Blk 146,24.9,2
43,96199,Opp Blk 224,25.3,2
44,96209,Opp Simei Green Condo,25.7,4
45,96041,Upp Changi Stn/Opp Sutd,26.0,3
46,96051,Opp Changi Ct,26.3,3
47,96061,Opp Mera Terr P/G,26.7,3
48,97011,The Japanese Sch,27.6,3
49,98299,Parc Olympia,28.1,1
50,98281,Estella Gdns,28.72,2
51,98311,Bef Mariam Wk,28.9,2
52,97051,Komo Shoppes,29.2,2
53,97119,Aft Toh Cl,29.7,2
54,97129,Bef Loyang Ave,30.0,1
55,98101,Loyang Pt,30.4,5
56,78141,Blk 249,30.8,3
57,78131,Pasir Ris Pr Sch,31.2,3
58,78121,Bet Blks 232/233,31.6,3
59,78111,Blk 479,32.1,6
60,78101,Opp Downtown East,32.5,11
61,77009,Pasir Ris Int,33.1,16
